Symbol,Name,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
EPR,Entertainment Properties Trust,39.89,41.5,39.56,41.42,2.64,6.81,478026,46.73,18.53,2.6,6.28,,17.44
EVC,Entravision Communications,2.83,2.87,2.75,2.87,0.15,5.51,60612,3.6,0.36,,,,-15.59
ENZ,Enzo Biochem,5.13,5.4,5.13,5.4,0.42,8.43,104766,7.98,3.65,,,,0.37
EFX,Equifax,30.42,30.61,30.19,30.61,0.66,2.2,1170684,36.63,24.39,0.16,0.52,16.64,-0.91
ELS,Equity Lifestyle Properties,50.49,52.08,49.76,51.85,2.5,5.07,280997,58.52,33.32,1.2,2.31,41.48,2.73
EQY,Equity One,17.14,17.46,16.83,17.46,0.75,4.49,513458,20,12.13,0.88,5.04,42.59,7.98
EQR,Equity Residential,44.29,45.83,43.85,45.75,2.38,5.49,3843526,48.45,18.8,1.35,2.95,,35.44
ESS,Essex Property Trust,105.33,107.9,104.32,107.65,4.55,4.41,611244,113.03,55.96,4.13,3.84,66.45,28.69
EL,Estee Lauder,57.37,58.78,57.37,58.69,2.22,3.93,2223564,71.29,30,0.55,0.94,26.92,21.36
ESL,Esterline Technologies,49.85,51.38,49.85,51.35,2.29,4.67,262203,57.85,23.77,,,14.22,25.95
ETH,Ethan Allen Interiors,19.97,20.72,19.9,20.62,1.13,5.8,234209,25.4,9.9,0.2,0.97,,53.65
EVR,Evercore Partners Cl A,31.64,32.61,31.09,32.58,1.58,5.1,345914,38.23,16.7,0.6,1.84,,7.17
RE,Everest Re Group,72.93,74.05,72.53,73.98,2.2,3.06,422589,93.23,66.24,1.92,2.6,6.68,-13.66
EEE,Evergreen Energy,0.2,0.2,0.18,0.2,0.01,5.26,1830952,1.17,0.18,,,,-40.32
EXM,Excel Maritime Carriers,5.75,6.02,5.7,6.02,0.44,7.89,1304650,11.7,4.83,,,1.94,-2.27
EXL,Excel Trust,11.85,12.29,11.65,12.28,0.57,4.87,230529,13.72,9.01,,,,
EXC,Exelon,38.65,38.91,38.41,38.91,0.85,2.23,5200296,54.47,28.2,2.1,5.4,9.4,-20.38
EXPR,Express,14.49,15.32,14.29,14.35,0.05,0.35,488785,17.4,13.58,,,,
XJT,ExpressJet Holdings,3.19,3.51,3.18,3.49,0.36,11.5,103645,5.23,1.22,,,,-27.59
EXH,Exterran Holdings,24.22,25.58,24.22,25.58,1.75,7.34,1070217,30.28,13.69,,,,19.25
EXR,Extra Space Storage,14.9,15.28,14.72,15.27,0.81,5.6,769110,16.32,7.03,0.33,,50.9,32.21
XOM,Exxon Mobil,60.5,61.55,60.1,61.46,2.15,3.63,31898499,76.54,58.46,1.76,2.86,14,-9.87
FFG,FBL Financial Group,23.78,24.86,23.46,24.83,1.91,8.33,89247,28.17,7.01,0.25,1.01,8.45,34.07
FMC,FMC,60.4,61.49,59.8,61.49,2.42,4.1,615402,65.8,40.69,0.5,0.81,17.67,10.28
FTI,FMC Technologies,60.81,62.38,60.01,62.37,3.22,5.44,2275510,76.54,33.91,,,19.99,7.83
FNB,F.N.B.,8.34,8.41,8.11,8.38,0.31,3.84,594698,9.75,5.74,0.48,5.73,22.65,23.42
FPL,FPL Group,49.08,49.84,49,49.78,1.33,2.75,3752060,60.61,45.29,2,4.02,11.29,-5.76
FCN,FTI Consulting,40.02,40.23,39.8,40.12,0.55,1.39,1151510,56.41,36.1,,,16.79,-14.93
FDS,FactSet Research Systems,67.73,69.26,67.73,69.26,2.46,3.68,466907,77.64,47.36,0.92,1.33,22.93,5.15
FICO,Fair Isaac,23.13,23.2,22.5,23.06,0.23,1.01,680525,27,13.68,0.08,0.35,16.96,8.21
FCS,Fairchild Semiconductor International,10.1,10.33,10.01,10.33,0.55,5.62,2375220,12.73,5.96,,,114.78,3.4
FDO,Family Dollar Stores,41.31,41.44,40.64,40.7,0.03,0.07,3671223,42.07,25.52,0.62,1.52,17.39,46.25
FNM,Fannie Mae,0.94,0.97,0.92,0.96,0.04,4.26,10685992,2.13,0.51,,,,-18.71
AGMA,Federal Agricultural Mortgage Cl A,12.67,12.77,12.67,12.77,0.6,4.93,200,17.49,2.99,0.2,1.57,,94.07
AGM,Federal Agricultural Mortgage Cl C,14.26,15.81,14.17,15.73,1.59,11.24,446238,23.89,4.11,0.2,1.27,3.18,124.39
FRT,Federal Realty Investment Trust,71.91,74.36,71.17,74.23,3.78,5.37,839556,79.79,46.8,2.64,3.56,38.86,9.61
FSS,Federal Signal,6.67,7.05,6.59,7.01,0.45,6.86,963932,10.3,5.43,0.24,3.42,25.04,16.45
FII,Federated Investors,22.72,22.77,22.27,22.73,0.35,1.56,1976350,27.32,21.28,0.96,4.22,11.72,-13.18
FDX,FedEx,83.16,84.29,82.13,84.16,2.52,3.09,2603821,97.75,49.76,0.44,0.52,,0.85
FCH,Felcor Lodging Trust,6.3,6.71,6.18,6.69,0.64,10.58,688347,8.99,1.86,,,,85.83
FGP,Ferrellgas Partners,22.5,22.97,22.4,22.97,0.82,3.7,109557,23.73,15.25,2,8.71,38.28,8.71
FOE,Ferro Corp.,9.15,9.28,8.95,9.15,0.35,3.98,1025629,11.62,1.95,,,,11.04
FBR,Fibria Celulose ADS,15.85,16.59,15.71,16.58,1.43,9.44,1453027,24.46,10.33,,,48.76,-27.41
FNF,Fidelity National Financial,14.28,14.54,14.09,14.51,0.43,3.05,1462655,17,11.97,0.72,4.96,13.31,7.8
FIS,Fidelity National Information Services,27.87,27.98,27.67,27.95,0.48,1.75,6276075,30.78,18.79,0.2,0.72,36.78,19.24
FAC,First Acceptance,1.82,1.82,1.77,1.79,0.03,1.7,112802,3.2,1.68,,,,-8.21
FAF,First American,33.19,33.91,33.19,33.9,1.17,3.57,790063,37.42,20.91,0.88,,17.12,2.39
FAF@,First American Financial Corp. Wi,14.1,14.35,14,14.2,0.35,2.53,6300,15.8,13.6,,,,
FBP,First BanCorp (Puerto Rico),1.48,1.5,1.31,1.44,0.06,4.35,2644026,5.83,1.17,,,,-37.39
FCF,First Commonwealth Financial (Pennsylvania),5.37,5.4,5.22,5.38,0.14,2.67,420961,7.83,4.03,0.04,0.74,,15.7
FHN,First Horizon National,12.6,12.79,12.44,12.74,0.36,2.91,2245079,15.86,10.48,,,,-3.54
FR,First Industrial Realty Trust,6.58,6.8,6.47,6.8,0.44,6.92,752727,9.33,3.52,1,,,30.02
FMD,First Marblehead,2.66,2.85,2.65,2.85,0.29,11.33,412565,4.08,1.65,,,,33.8
FMR,First Mercury Financial,12.14,12.64,12.09,12.58,0.65,5.45,84596,14.16,9.91,0.1,0.79,5.49,6.08
FPO,First Potomac Realty Trust,14.5,14.91,14.26,14.88,0.76,5.38,263835,16.65,9.33,0.8,5.38,,18.38
FE,FirstEnergy,34.91,35.24,34.58,35.24,0.81,2.35,2628758,47.82,33.57,2.2,6.24,10.36,-24.13
FBC,Flagstar Bancorp,0.51,0.52,0.45,0.47,-0.03,-6.08,15978187,1.38,0.39,,,,-21.73
FSR,Flagstone Reinsurance Holdings,11.92,11.94,11.72,11.93,0.24,2.05,207008,12.45,8.95,0.16,1.34,4.22,9.05
FTK,Flotek Industries,1.44,1.49,1.36,1.4,-0.04,-2.78,237133,2.98,0.96,,,,4.48
FLO,Flowers Foods,25.54,25.68,24.88,25.24,0.05,0.2,977546,27.58,20.59,0.7,2.77,17.53,6.23
FLS,Flowserve,96,98.38,96,98.33,4.3,4.57,847904,119.83,60.9,1.16,1.18,13.6,4.02
FLR,Fluor,46.21,47.83,46.03,47.81,3.53,7.97,3891825,58.62,39.77,0.5,1.05,14.14,6.15
FMX,Fomento Economico Mexicano ADS,42.19,43.67,41.92,43.67,2.25,5.43,837976,50.26,29.63,0.32,0.73,20.8,-8.79
FL,Foot Locker,14.51,15.04,14.31,15.02,0.89,6.3,3027294,16.76,9.46,0.6,3.99,34.14,34.83
F%,Ford Motor Wt,4.57,4.76,4.35,4.76,0.5,11.74,7907247,6.48,3.37,,,,
F,Ford Motor,11.85,12,11.66,11.99,0.6,5.27,90497969,14.57,5.21,,,11.99,19.9
FCEA,Forest City Enterprises Cl A,13.37,13.9,13.09,13.85,0.87,6.7,1340893,16.43,4.7,,,,17.57
FCEB,Forest City Enterprises Cl B,13.2,13.7,13.2,13.7,0.75,5.79,300,16.66,4.76,,,,15.32
FRX,Forest Laboratories,25.98,26.13,25.79,26.07,0.43,1.68,2676777,33.1,22.71,,,11.64,-18.81
FST,Forest Oil,25.73,26.6,25.63,26.6,1.74,7,1679591,31.31,12.01,,,8.18,19.55
FOR,Forestar Group,17.77,18.77,17.66,18.72,1.38,7.96,250093,23.54,10.19,,,11.28,-14.83
FIG,Fortress Investment Group Cl A,4.15,4.19,4.1,4.15,0.1,2.47,1126818,5.96,2.61,,,,-6.74
FO,Fortune Brands,47.08,47.97,46.68,47.74,1.72,3.74,1581522,55.68,31.58,0.76,1.59,23.63,10.51
KDE,4 Kids Entertainment,0.83,0.86,0.83,0.86,0.05,6.04,9947,2.43,0.8,,,,-45.91
FTE,France Telecom ADS,18.93,19.47,18.86,19.47,1,5.41,877020,28,18.31,1.9,9.76,12.89,-22.86
FC,Franklin Covey,7.07,7.21,6.91,7.2,0.27,3.9,42477,8.19,4.76,,,,14.29
BEN,Franklin Resources,97.26,99.9,97,99.79,3.74,3.89,1867310,121.9,60.1,0.88,0.88,16.69,-5.28
FRE,Freddie Mac,1.2,1.25,1.18,1.23,0.06,5.13,5954450,2.5,0.53,,,,-16.33
FCX,Freeport-McMoRan Copper&Gold,69.38,71.1,68.52,71.07,4.48,6.73,15115701,90.55,43.19,0.3,,9.17,-11.48
FMS,Fresenius Medical Care ADS,48.83,49.61,48.67,49.52,1.95,4.1,111749,56.88,41.1,0.82,1.66,16.51,-6.58
FDP,Fresh Del Monte Produce,20.25,20.37,19.97,20.37,0.42,2.11,224894,24.77,15.07,,,8.93,-7.83
FTR,Frontier Communications,7.9,7.91,7.83,7.88,0.07,0.9,4210257,8.57,6.43,1,12.69,19.7,0.9
FTO,Frontier Oil,13.61,13.99,13.61,13.95,0.54,4.03,2471605,18.4,11.03,0.24,,,15.86
FRO,Frontline,31.58,33.69,31.58,33.66,3.48,11.53,2019311,38.85,19.76,1.4,4.16,24.75,23.21
FUL,H.B. Fuller,21.19,21.82,20.93,21.8,1.17,5.67,263245,24.66,16.47,0.28,1.28,11.12,-4.18
FRM,Furmanite,4.98,5.17,4.85,5.02,0.22,4.58,144149,5.5,2.91,,,,31.76
FBN,Furniture Brands International,7.34,7.85,7.24,7.83,0.81,11.54,375874,9.37,2.37,,,,43.41
GMT,GATX,28.91,29.08,28.57,29.04,0.86,3.05,479094,35.75,22.74,1.12,3.86,19.23,1.01
GLG,GLG Partners,4.18,4.26,4.18,4.25,0.04,0.95,13879453,4.61,2.51,,,,31.99
GLG%,GLG Partners WT,0.12,0.12,0.1,0.1,-0.02,-14.18,33875,0.48,0.08,,,,-39.47
GMXR,GMX Resources,6.86,6.94,6.71,6.93,0.31,4.68,958619,19.1,6,,,,-49.56
GPX,GP Strategies,7.2,7.76,7.11,7.75,0.73,10.4,49693,8.75,4.51,,,,2.92
GFA,Gafisa ADS,11.98,12.17,11.67,12.16,0.86,7.61,1634286,18.81,7.36,0.14,1.15,,-24.85
AJG,Arthur J. Gallagher,24.34,24.85,24.21,24.84,0.89,3.72,620694,27,20.05,1.28,5.15,18.96,10.35
GBL,GAMCO Investors Cl A,39.65,40.14,39.4,40,1.12,2.88,39518,52.79,38.58,0.12,0.3,18.35,-17.17
GME,GameStop Cl A,22.58,23.02,22.5,22.98,1.32,6.09,4894546,28.62,17.12,,,9.95,4.74
GRS,Gammon Gold,7.11,7.51,7.09,7.46,0.41,5.82,1414573,12.63,6.07,,,,-32.24
GCI,Gannett,15.42,15.88,15.24,15.86,0.95,6.37,3194626,19.69,3.1,0.16,1.01,9.61,6.8
GPS,Gap,21.55,22,21.36,21.99,0.77,3.63,9854063,26.34,14.65,0.4,1.82,12.86,4.96
GDI,Gardner Denver,44.66,46.34,44.66,46.31,2.18,4.94,360590,53.66,22.18,0.15,,,8.84
IT,Gartner,25.09,25.25,24.4,25.09,0.7,2.87,1098237,25.25,14.14,,,30.23,39.08
GET,Gaylord Entertainment,25.38,27.09,24.93,27.07,2.42,9.82,2366047,34.55,9.52,,,,37.06
GNK,Genco Shipping&Trading,19.5,20.01,19.13,20,1.04,5.49,1311480,29.89,17.12,,,4.47,-10.63
GY,GenCorp,5.2,5.29,5.06,5.29,0.23,4.55,446814,9.12,1.83,,,9.8,-24.43
GNRC,Generac Holdings,11.01,11.09,10.85,11.01,0.13,1.19,102538,15.79,10.57,,,,
BGC,General Cable,30.78,31.72,30.41,31.69,1.7,5.67,953032,42.73,22.77,,,13.1,7.72
GD,General Dynamics,67.2,68.48,67.17,68.48,2.1,3.16,1560719,79,49.85,1.68,2.45,11.05,0.45
GE,General Electric,16.42,16.68,16.14,16.66,0.65,4.06,69895822,19.7,10.5,0.4,2.4,17.18,10.11
GGP,General Growth Properties,13.74,14.1,13.64,14.1,0.91,6.9,2291524,18.15,1.04,,,,1255.77
GMR,General Maritime,7.11,7.11,6.85,7.01,0.17,2.49,794740,10.97,6.41,0.88,12.55,,0.29
GIS,General Mills,71.57,71.61,70.79,71.4,0.9,1.28,2563231,74.45,50.67,1.96,2.75,14.45,0.83
GSI,General Steel Holdings,2.76,2.85,2.7,2.85,0.16,5.95,399223,6.08,2.42,,,,-35.37
GCO,Genesco,30.7,33.79,29.79,29.91,0.93,3.21,557476,35,17.51,,,22.83,8.92
GWR,Genesee&Wyoming Cl A,35.75,36.31,35.03,36.29,1.53,4.4,154043,41.46,23.97,,,23.88,11.18
G,Genpact,16.18,16.43,16.14,16.41,0.51,3.21,317362,18.3,6.37,,,29.3,10.13
GPC,Genuine Parts,40.54,40.94,40.26,40.94,1.09,2.74,707920,45.42,32,1.64,4.01,15.93,7.85
GNW,Genworth Financial Cl A,15.37,16.02,15.19,15.99,1.19,8.04,10404553,19.36,4.58,,,44.42,40.88
GEO,Geo Group,20.94,21.08,20.68,21.07,0.57,2.78,448587,23.18,15.45,,,15.96,-3.7
GGC,Georgia Gulf,18.2,18.44,17.3,17.44,-0.49,-2.73,792333,47.19,5.76,,,5.32,0.35
GRB,Gerber Scientific,6.08,6.23,5.96,6.18,0.33,5.64,68538,8.03,2.16,,,,22.38
GNA,Gerdau AmeriSteel,7.19,7.42,7.12,7.42,0.42,6,1174033,9.66,5.85,0.08,,,-10.06
GGB,Gerdau ADS,13.1,13.51,12.92,13.51,0.77,6.04,8564272,17.99,9.11,0.21,,22.52,-20.67
GTY,Getty Realty,22.46,22.65,21.81,22.52,0.49,2.22,402689,26.32,15.52,1.9,8.44,12.94,-4.29
GA,Giant Interactive Group ADS,7.07,7.18,7.02,7.15,0.06,0.85,309719,9.57,6.24,0.18,,14.3,1.85
GIL,Gildan Activewear,28.71,29.06,28.59,29,1.05,3.76,770965,31.67,13.07,,,22.14,18.95
GLT,Glatfelter,11.64,11.86,11.46,11.84,0.48,4.23,300345,15.49,7.91,0.36,3.04,4.89,-2.55
GSK,GlaxoSmithKline ADS,32.82,33.38,32.72,33.36,1.02,3.15,2137635,43.47,32.15,1.52,,9.81,-21.04
GRT,Glimcher Realty Trust,6.51,6.98,6.43,6.95,0.62,9.79,694815,7.32,2.21,0.4,5.76,,157.41
GCA,Global Cash Access Holdings,7.95,8.02,7.84,8.02,0.22,2.82,146353,9.26,6.14,,,19.1,7.08
GGS,Global Geophysical Services,9.36,9.48,8.89,9.19,0.17,1.88,168208,12.47,8.08,,,,
GLP,Global Partners,21,21.29,20.73,21.29,0.61,2.95,52299,27.4,15.83,1.95,9.16,9.77,-7.27
GPN,Global Payments,41.86,42.3,41.66,42.3,1.08,2.62,918950,54.52,34.78,0.08,0.19,56.4,-21.46
GSL,Global Ship Lease Cl A,2.94,3.07,2.83,3.01,0.22,7.89,109134,3.45,1.03,0.23,,,109.61
GSLU,Global Ship Lease Un,2.8,2.95,2.8,2.95,0.3,11.32,700,3.37,0.92,0.23,,,96.67
GOL,GOL Linhas Aereas Inteligentes ADS,11.08,11.4,10.95,11.4,0.78,7.34,1799662,16.87,4.26,0.4,,5.73,-25.73
GFI,Gold Fields ADS,13.5,13.83,13.46,13.8,0.34,2.53,5705938,15.88,10.62,0.06,0.43,30,5.26
GG,Goldcorp,42.78,44,42.69,43.36,0.88,2.07,9298625,47.41,31.84,0.18,0.42,,10.22
GG%,Goldcorp WT 2011,6.51,6.51,6.28,6.3,-0.2,-3.08,2600,10.65,3.5,,,,-10
GS,Goldman Sachs Group,142.93,145.05,141.04,144.95,5,3.57,12871743,193.6,134.2,1.4,0.97,6.23,-14.15
GR,Goodrich,69.24,70.54,68.56,70.5,2.68,3.95,1555930,77.89,46,1.08,1.53,17.85,9.73
GDP,Goodrich Petroleum,12.64,12.87,12.17,12.87,0.71,5.84,1344570,31.39,11.16,,,,-47.15
GT,Goodyear Tire&Rubber,11.89,12.19,11.78,12.18,0.7,6.1,3878788,18.84,9.98,,,,-13.62
GOV,Government Properties Income Trust,26.55,27.13,26.5,27.01,0.69,2.62,150311,28.4,17.76,1.3,,21.78,17.54
GRA,W.R. Grace,25.2,25.97,24.82,25.94,1.49,6.09,683329,30.3,10.64,,,11.48,2.33
GGG,Graco Inc.,31.56,31.99,31.4,31.99,0.94,3.03,495621,35.98,20.41,0.8,2.5,29.08,11.97
GTI,GrafTech International,16.47,17.01,16.39,17.01,0.97,6.05,1127068,17.78,9.47,,,56.7,9.39
GRM,Graham Packaging,12.3,12.58,12.04,12.56,0.43,3.54,173654,13.52,9.77,,,,
GWW,W.W. Grainger,102.01,103.34,101.19,103.34,3.2,3.2,661678,116.07,75.86,2.16,2.09,18.16,6.72
GKK,Gramercy Capital,1.64,1.69,1.56,1.62,0.07,4.52,1212395,4.61,1.2,,,,-37.45
GVA,Granite Construction,30.32,30.32,29.25,29.8,0.11,0.37,876066,38.37,27.14,0.52,1.74,93.13,-11.47
GPK,Graphic Packaging Holding,3.13,3.29,3.13,3.29,0.26,8.58,320531,4.1,1.37,,,12.65,-5.19
GTN,Gray Television,2.94,3,2.85,2.99,0.17,6.03,351501,4.88,0.38,,,,99.32
GTNA,Gray Television Cl A,2.94,2.96,2.77,2.91,0.22,8.18,1000,4.73,,,,,94
GAP,Great Atlantic&Pacific Tea,5.39,5.48,5.08,5.47,0.25,4.79,665444,13,3.54,,,,-53.6
GNI,Great Northern Iron Ore,89.9,90,88.02,89.81,-0.19,-0.21,4200,104,75.25,8.2,9.13,14.44,-4.46
GXP,Great Plains Energy,17.28,17.48,17.11,17.32,0.28,1.64,995521,20.29,14.35,0.83,4.79,15.6,-10.68
GB,Greatbatch,21.14,21.22,20.82,21.17,0.31,1.49,319265,24.43,17.99,,,,10.09
GBX,Greenbrier,14.03,14.92,13.86,14.85,1.32,9.76,311217,18,5.4,,,,43.06
GHL,Greenhill,69.29,70.85,68.95,70.84,2.7,3.96,241998,96.09,65.5,1.8,2.54,36.52,-11.71
GEF,Greif Cl A,53.73,54.63,53.43,54.63,2.11,4.02,103229,61.02,40.18,1.52,2.78,19.79,1.2
GEFB,Greif Cl B,50.25,51.4,50.25,51.4,1.4,2.8,2400,57.8,37,2.27,4.42,15.03,2.49
GFF,Griffon,12.31,12.53,12.19,12.48,0.49,4.09,155995,15.13,7.27,,,29.71,2.13
GPI,Group 1 Automotive,28.69,29.51,28.21,29.49,1.78,6.42,443357,38.24,19.21,0.2,,20.2,4.02
GBE,Grubb&Ellis,1.35,1.44,1.35,1.44,0.09,6.67,661200,2.35,0.55,0.13,,,12.5
GMK,Gruma ADS,6.4,6.5,6.04,6.44,0.39,6.45,31255,9.14,3.53,,,,-7.6
PAC,Grupo Aeroportuario del Pacifico ADS,34.22,34.78,33.66,34.76,1.58,4.76,228596,37.98,20.2,0.43,,15.59,11.2
ASR,Grupo Aeroportuario del Sureste ADS,50.19,52.59,50.16,52.59,3.26,6.61,48338,58.28,32.93,2.02,3.84,23.58,1.51
TV,Grupo Televisa ADS,18.64,19,18.49,19,0.8,4.4,1801443,21.73,15.52,0.52,2.74,18.1,-8.48
TMM,Grupo TMM ADS,2.02,2.22,2.01,2.2,0.17,8.37,11000,5.75,1.87,,,,-41.49
GSH,Guangshen Railway ADS,17.3,17.56,17.2,17.56,0.75,4.46,107501,25.64,15.76,0.59,3.36,12.63,-13.45
GES,Guess?,36.7,38.19,36.5,38.17,2.54,7.13,2919784,51.28,22.9,0.64,1.68,14.62,-9.76
GLF,Gulfmark Offshore Cl A,27.45,27.83,26.1,27.37,0.47,1.75,406836,35.66,23.27,,,12.06,-3.32
GU,Gushan Environmental Energy ADS,0.8,0.84,0.8,0.8,0.01,1.27,181484,3.12,0.7,0.05,,,-39.39
HCC,HCC Insurance Holdings,24.93,25.33,24.73,25.33,0.77,3.14,732793,29.01,23.22,0.54,2.13,8.62,-9.44
HCP,HCP,31.34,32.52,31.09,32.47,1.74,5.66,4436182,34.37,19.65,1.86,5.73,90.19,6.32
HDB,HDFC Bank ADS,136.24,141.3,133.57,141.3,10.71,8.2,517768,156.37,88.94,0.81,0.57,34.72,8.63
HNI,HNI,30.48,31.11,30.13,31.11,1.28,4.29,205959,35.29,15.85,0.86,2.76,1555.5,12.6
HRP,HRPT Properties Trust,6.67,6.92,6.61,6.9,0.36,5.5,3072868,8.25,3.78,0.48,6.96,62.73,6.65
HBC,HSBC Holdings ADS,45.82,46.52,45.39,46.48,2.11,4.76,5136372,64.42,39.13,1.7,3.66,27.5,-18.58
HAE,Haemonetics,54.54,55,54.34,54.51,0.58,1.08,252996,60.7,51.4,,,24.44,-1.16
HAL,Halliburton,27.1,27.25,26.24,26.99,1.2,4.65,28313441,35.22,18.11,0.36,1.33,24.76,-10.3
HBI,Hanesbrands,27.36,27.8,27.18,27.77,1.08,4.05,399318,31.45,13.07,,,25.25,15.18
HGR,Hanger Orthopedic Group,17.35,17.41,17.2,17.35,0.31,1.82,102383,19.53,12.18,,,15.77,25.45
THG,Hanover Insurance Group,42.88,43.69,42.76,43.67,1.34,3.17,264033,46.39,32.9,1,,14.41,-1.71
HRG,Harbinger Group,6.49,6.59,6.47,6.58,0.19,2.97,12134,7.66,6.09,,,,-6.27
HOG,Harley-Davidson,30.81,31.14,30.29,31.09,1.08,3.6,4272043,36.13,14.99,0.4,1.29,,23.37
HAR,Harman International Industries,31.5,32.74,31.18,32.71,1.94,6.3,1114022,53.36,16.93,,,,-7.28
HMY,Harmony Gold Mining ADS,9.69,9.79,9.61,9.71,0.03,0.31,2917285,12.39,8.34,0.06,,30.34,-4.52
HRS,Harris Corp.,45.9,47.66,45.9,47.66,2.04,4.47,1828561,54.5,26.11,0.88,1.85,19.14,0.23
HWD,Harry Winston Diamond,11.98,12.72,11.86,12.58,0.94,8.08,336120,12.87,4.95,0.2,,,32.28
HSC,Harsco,27,27.84,26.77,27.81,1.43,5.42,1041211,37.65,24.66,0.82,2.95,18.42,-13.71
HHS,Harte-Hanks,13.56,13.85,13.41,13.85,0.6,4.53,213727,15.84,8.15,0.3,2.17,17.31,28.48
HIG,Hartford Financial Services Group,24.6,25.53,24.4,25.52,1.73,7.27,7638683,30.46,10,0.2,0.78,,9.72
HNR,Harvest Natural Resources,7.37,7.71,7.37,7.69,0.47,6.51,268964,9.07,3.88,,,11.48,45.37
HAS,Hasbro,40.39,40.59,40.07,40.57,1.02,2.58,2480491,42.59,22.79,1,2.46,14.81,26.54
HTS,Hatteras Financial,27.56,27.58,26.91,27.57,0.6,2.22,749492,33.59,11.25,4.65,16.87,5.57,-1.39
HVT,Haverty Furniture,16.36,16.5,16.12,16.35,0.37,2.32,86161,18.16,8.86,0.02,,163.5,19.08
HE,Hawaiian Electric Industries,21.85,22.14,21.73,22.12,0.57,2.65,248854,24.04,16.5,1.24,5.61,22.8,5.84
HW,Headwaters,4.07,4.14,3.94,4.12,0.23,5.91,403870,6.84,2.66,,,,-36.81
HCN,Health Care REIT,42.74,43.64,42.25,43.6,1.74,4.16,1759045,46.79,32.33,2.72,6.24,43.6,-1.62
HMA,Health Management Associates Cl A,8.9,9.26,8.85,9.26,0.56,6.44,3488470,9.81,4.25,,,17.47,27.37
HNT,Health Net,23.8,24.21,23.6,24.21,0.7,2.98,787795,26.73,11.32,,,,3.95
HR,Healthcare Realty Trust,22.36,23.16,22.01,23.12,1.33,6.1,655361,25.24,15.43,1.2,5.19,59.28,7.74
HLS,HealthSouth,19.51,20.18,19.37,20.17,1.03,5.38,579562,22.22,11.56,65,,38.79,7.46
HS,HealthSpring,17.46,17.67,17.08,17.65,0.52,3.04,423070,20.5,9.46,,,6.76,0.23
HPY,Heartland Payment Systems,16.53,16.65,16.24,16.5,0.31,1.91,193694,19.51,7.42,0.04,0.24,,25.67
HEK,Heckmann,5.27,5.41,5.24,5.4,0.14,2.66,908352,6.48,3.3,,,,8.22
HEK%,Heckmann WT,0.71,0.75,0.68,0.75,0.05,7.13,7243,1.45,0.34,,,,-16.68
HL,Hecla Mining,5.37,5.5,5.37,5.5,0.23,4.36,7385053,7.47,2.26,,,21.15,-11
HEI,Heico,39.92,40.65,39.11,40.22,1.34,3.45,221544,45.36,23.46,0.1,0.25,28.94,13.41
HEIA,Heico Cl A,30.27,30.7,30,30.15,0.09,0.3,28926,44.07,26.01,0.1,0.33,,-16.16
HNZ,H.J. Heinz,44.93,44.99,43.81,44.8,0.54,1.22,5685713,47.84,35.04,1.8,4.02,15.94,4.77
HLX,Helix Energy Solutions Group,12.23,12.23,11.13,11.7,0.35,3.08,4785141,17,8.76,,,,-0.43
OTE,Hellenic Telecommunications Organization ADS,4.04,4.27,4,4.26,0.39,10.08,501618,9.72,3.87,0.53,12.44,7.47,-43.35
HP,Helmerich&Payne,34.8,36.75,34.8,36.72,2.87,8.48,4228589,49.13,26.64,0.2,0.54,18.45,-7.92
HLF,Herbalife,44.13,45.57,44.03,45.52,2.22,5.13,569330,53,27.1,0.8,1.76,13.51,12.2
HT,Hersha Hospitality Trust Cl A,4.59,4.91,4.55,4.82,0.35,7.83,2192073,5.98,2.15,0.2,4.15,,53.5
HSY,Hershey,46.4,47.31,46.35,47.29,1.39,3.03,1638667,48.75,33.7,1.28,2.71,21.4,32.13
HTZ,Hertz Global Hldgs,11.1,11.54,10.99,11.33,0.54,5,18310161,15.6,6.14,,,,-4.95
HES,Hess Corp.,53,54.63,52.89,54.55,2.93,5.68,3818035,69.74,46.33,0.4,0.73,15.54,-9.83
HEW,Hewitt Associates Cl A,36.79,37.4,36.66,37.37,1.16,3.2,510411,43.85,27.92,,,13.84,-11.57
HPQ,Hewlett-Packard,46.37,47.09,46.35,46.94,1.22,2.67,17938397,54.75,33.85,0.32,0.68,15.75,-8.87
HXL,Hexcel,15.96,16.3,15.85,16.3,0.7,4.49,673147,17.44,8.46,,,33.27,25.58
HF,HFF Cl A,7.69,8.08,7.69,8.07,0.35,4.53,84233,9.95,3.31,,,,29.12
HGG,HHGregg,27,29.14,27,28.98,2.36,8.87,699172,30.49,13.36,,,24.98,31.55
HIW,Highwoods Properties,29.51,30.04,28.91,29.91,1.16,4.03,1353578,35.24,19.35,1.7,5.68,69.56,-10.31
HIL,Hill International,4.5,4.55,4.44,4.48,0.07,1.59,83704,8.1,3.7,,,10.18,-28.21
HRC,Hill-Rom Holdings,27.98,28.31,27.52,28.3,0.83,3.02,642789,32.85,14.46,0.41,1.45,19.65,17.97
HI,Hillenbrand,23.71,24.14,23.68,24.08,0.63,2.69,159498,26.21,15.88,0.75,3.11,13.92,27.81
HTH,Hilltop Holdings,10.66,10.9,10.59,10.9,0.36,3.42,213173,12.98,10.48,0.52,,,-6.36
